city,gender,registered_via,membership_age_days,registration_year,registration_month,bd_missing,registration_missing,has_member_profile,tx_count,payment_plan_days_mean,plan_list_price_mean,actual_amount_paid_mean,is_auto_renew_mean,days_since_last_transaction,transaction_history_days,latest_payment_method,has_transaction_history,log_count,num_25_mean_per_record,num_50_mean_per_record,num_75_mean_per_record,num_985_mean_per_record,num_100_mean_per_record,num_unq_mean_per_record,total_secs_mean_per_record,days_since_last_activity,activity_history_days,has_activity_history
city_5,male,registered_via_3,1576.0,2012.0,12.0,0,0,1,1.0,30.0,149.0,149.0,1.0,13.0,0.0,unknown,0,15.0,2.3333333333333335,0.2,0.26666666666666666,0.26666666666666666,40.13333333333333,11.6,9850.605933333332,14.0,16.0,1
city_9,male,registered_via_3,522.0,2015.0,10.0,0,0,1,1.0,30.0,149.0,149.0,1.0,13.0,0.0,unknown,0,4.0,2.75,4.75,0.75,0.0,3.0,11.0,1247.254,6.0,21.0,1
city_1,unknown,registered_via_7,394.0,2016.0,3.0,1,0,1,2.0,30.0,149.0,149.0,1.0,3.0,27.0,payment_method_41,1,8.0,0.5,1.75,0.25,0.875,5.125,5.375,1874.46125,6.0,21.0,1
city_5,male,registered_via_9,2896.0,2009.0,4.0,0,0,1,1.0,30.0,149.0,149.0,1.0,0.0,0.0,payment_method_34,1,31.0,12.0,3.6774193548387095,2.161290322580645,2.3870967741935485,43.29032258064516,23.129032258064516,10731.042258064517,0.0,30.0,1
city_1,unknown,registered_via_7,528.0,2015.0,10.0,1,0,1,1.0,30.0,99.0,99.0,1.0,11.0,0.0,payment_method_41,1,30.0,1.2666666666666666,0.5666666666666667,0.16666666666666666,0.43333333333333335,11.133333333333333,10.266666666666667,3000.2649333333334,0.0,30.0,1
city_11,female,registered_via_3,1153.0,2014.0,2.0,0,0,1,1.0,30.0,180.0,180.0,1.0,24.0,0.0,payment_method_36,1,23.0,4.782608695652174,0.782608695652174,0.5217391304347826,0.6521739130434783,9.391304347826088,10.91304347826087,2497.086304347826,0.0,30.0,1
city_1,unknown,registered_via_7,529.0,2015.0,10.0,1,0,1,1.0,30.0,99.0,99.0,1.0,13.0,0.0,payment_method_41,1,9.0,0.8888888888888888,0.7777777777777778,0.5555555555555556,0.0,10.555555555555555,12.333333333333334,2895.8469999999998,1.0,29.0,1
city_1,unknown,registered_via_7,525.0,2015.0,10.0,1,0,1,1.0,30.0,99.0,99.0,1.0,8.0,0.0,payment_method_41,1,5.0,1.0,0.0,0.0,0.0,5.8,5.4,1281.1442,5.0,24.0,1
city_1,unknown,registered_via_4,409.0,2016.0,2.0,1,0,1,1.0,30.0,149.0,149.0,1.0,13.0,0.0,unknown,0,17.0,5.588235294117647,1.2941176470588236,0.35294117647058826,0.35294117647058826,14.352941176470589,20.41176470588235,3844.254352941176,10.0,18.0,1
city_1,unknown,registered_via_7,1131.0,2014.0,2.0,1,0,1,1.0,30.0,99.0,99.0,1.0,27.0,0.0,payment_method_41,1,9.0,3.5555555555555554,0.8888888888888888,0.4444444444444444,0.3333333333333333,27.0,31.555555555555557,6615.102999999999,7.0,22.0,1
city_1,unknown,registered_via_7,555.0,2015.0,9.0,1,0,1,1.0,30.0,99.0,99.0,1.0,8.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0
city_1,unknown,registered_via_7,527.0,2015.0,10.0,1,0,1,1.0,30.0,99.0,99.0,1.0,10.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0
city_4,male,registered_via_7,244.0,2016.0,7.0,0,0,1,1.0,30.0,99.0,99.0,1.0,0.0,0.0,payment_method_41,1,19.0,6.105263157894737,1.0526315789473684,0.8947368421052632,0.9473684210526315,9.68421052631579,13.157894736842104,2670.188210526316,1.0,27.0,1
city_13,male,registered_via_9,1944.0,2011.0,12.0,0,0,1,2.0,30.0,149.0,149.0,1.0,0.0,31.0,payment_method_39,1,30.0,13.766666666666667,3.3666666666666667,3.066666666666667,1.4,108.13333333333334,75.63333333333334,24987.33753333333,0.0,30.0,1
city_10,male,registered_via_7,451.0,2016.0,1.0,0,0,1,1.0,30.0,129.0,129.0,1.0,25.0,0.0,payment_method_41,1,15.0,6.6,3.466666666666667,0.6,1.1333333333333333,1.4,10.733333333333333,1076.7070666666664,1.0,29.0,1
city_13,male,registered_via_3,1272.0,2013.0,10.0,0,0,1,2.0,30.0,149.0,149.0,1.0,0.0,31.0,payment_method_39,1,28.0,0.0,0.0,0.0,0.0,30.571428571428573,25.25,8015.662928571429,1.0,29.0,1
city_5,female,registered_via_9,2864.0,2009.0,5.0,0,0,1,1.0,30.0,149.0,149.0,1.0,0.0,0.0,payment_method_31,1,29.0,6.413793103448276,2.689655172413793,1.5862068965517242,1.2758620689655173,38.93103448275862,34.58620689655172,9501.84875862069,0.0,30.0,1
unknown,unknown,unknown,1034.0,2014.0,7.0,1,1,0,1.0,30.0,99.0,99.0,1.0,15.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0
unknown,unknown,unknown,1034.0,2014.0,7.0,1,1,0,1.0,30.0,99.0,99.0,1.0,11.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0
city_4,female,registered_via_3,582.0,2015.0,8.0,0,0,1,1.0,30.0,149.0,149.0,1.0,13.0,0.0,unknown,0,18.0,2.888888888888889,0.6111111111111112,0.6666666666666666,0.7222222222222222,4.777777777777778,6.388888888888889,1427.3311666666668,3.0,27.0,1
unknown,unknown,unknown,1034.0,2014.0,7.0,1,1,0,1.0,30.0,149.0,149.0,1.0,0.0,0.0,payment_method_34,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0
city_1,unknown,registered_via_7,1118.0,2014.0,3.0,1,0,1,1.0,30.0,99.0,99.0,1.0,8.0,0.0,payment_method_41,1,31.0,0.0967741935483871,0.25806451612903225,0.03225806451612903,0.1935483870967742,18.06451612903226,16.29032258064516,4513.028,0.0,30.0,1
city_13,male,registered_via_9,1489.0,2013.0,3.0,0,0,1,1.0,30.0,149.0,149.0,1.0,13.0,0.0,unknown,0,5.0,4.2,1.4,0.8,0.6,11.8,16.2,2989.8494,26.0,4.0,1
city_4,female,registered_via_3,1899.0,2012.0,1.0,0,0,1,1.0,30.0,180.0,180.0,1.0,10.0,0.0,payment_method_29,1,25.0,3.44,1.6,0.48,1.8,5.88,9.24,2115.3828,0.0,30.0,1
city_15,female,registered_via_3,1685.0,2012.0,8.0,0,0,1,2.0,30.0,149.0,149.0,1.0,0.0,31.0,payment_method_39,1,31.0,23.967741935483872,5.161290322580645,4.419354838709677,4.967741935483871,23.129032258064516,48.03225806451613,8714.121322580646,0.0,30.0,1
city_4,male,registered_via_3,1533.0,2013.0,1.0,0,0,1,1.0,30.0,149.0,149.0,1.0,13.0,0.0,unknown,0,22.0,14.227272727272727,2.1818181818181817,1.3636363636363635,1.7727272727272727,24.181818181818183,37.95454545454545,7146.515363636363,6.0,24.0,1
